id,buggy,fixed,pair,label
patch1-Chart-1-CapGen.patch,if (dataset != null) {,if (dataset == null) {,if (dataset != null) {<EOS>if (dataset == null) {,0
patch1-Chart-11-CapGen.patch,PathIterator iterator1 = p1.getPathIterator(null);,PathIterator iterator1 = p2.getPathIterator(null);,PathIterator iterator1 = p1.getPathIterator(null);<EOS>PathIterator iterator1 = p2.getPathIterator(null);,0
patch1-Chart-24-CapGen.patch,int g = (int) ((value - this.lowerBound) / (this.upperBound,int g = (int) ((v - this.lowerBound) / (this.upperBound,int g = (int) ((value - this.lowerBound) / (this.upperBound<EOS>int g = (int) ((v - this.lowerBound) / (this.upperBound,0
patch1-Chart-8-CapGen.patch,"this(time, RegularTimePeriod.DEFAULT_TIME_ZONE, Locale.getDefault());","this(time, zone, Locale.getDefault());","this(time, RegularTimePeriod.DEFAULT_TIME_ZONE, Locale.getDefault());<EOS>this(time, zone, Locale.getDefault());",0
patch2-Chart-11-CapGen.patch,PathIterator iterator2 = p1.getPathIterator(null);,PathIterator iterator2 = p2.getPathIterator(null);,PathIterator iterator2 = p1.getPathIterator(null);<EOS>PathIterator iterator2 = p2.getPathIterator(null);,0
patch1-Chart-9-Elixir.patch,if (endIndex < 0) {,if (endIndex < 0 || (endIndex < startIndex)) {,if (endIndex < 0) {<EOS>if (endIndex < 0 || (endIndex < startIndex)) {,0
patch2-Chart-9-Jaid.patch,if (endIndex < 0) {,if (endIndex < 0 || (endIndex + 1 >= startIndex + 1) == false) {,if (endIndex < 0) {<EOS>if (endIndex < 0 || (endIndex + 1 >= startIndex + 1) == false) {,0
patch1-Chart-9-Jaid.patch,if (endIndex < 0) {,if ((endIndex < 0)  || (endIndex >= startIndex) == false) {,if (endIndex < 0) {<EOS>if ((endIndex < 0)  || (endIndex >= startIndex) == false) {,0
patch1-Chart-26-Jaid.patch,if (plotState != null && hotspot != null) {,if (plotState != null && hotspot != null && (null == plotState.getOwner()) != true) {,if (plotState != null && hotspot != null) {<EOS>if (plotState != null && hotspot != null && (null == plotState.getOwner()) != true) {,0
patch1-Chart-20-SimFix.patch,"super(paint, stroke, paint, stroke, alpha);","super(paint, stroke, outlinePaint, outlineStroke, alpha);","super(paint, stroke, paint, stroke, alpha);<EOS>super(paint, stroke, outlinePaint, outlineStroke, alpha);",0
patch1-Chart-7-SimFix.patch,long e = getDataItem(this.minMiddleIndex).getPeriod().getEnd(),long e = getDataItem(this.maxMiddleIndex).getPeriod().getEnd(),long e = getDataItem(this.minMiddleIndex).getPeriod().getEnd()<EOS>long e = getDataItem(this.maxMiddleIndex).getPeriod().getEnd(),0
patch1-Chart-1-Arja-plausible.patch,return result;,this.itemLabelGeneratorList=new ObjectList();,return result;<EOS>this.itemLabelGeneratorList=new ObjectList();,1
patch1-Chart-1-SketchFix-plausible.patch,if (dataset != null) {,if (dataset != null&&baseToolTipGenerator != legendItemToolTipGenerator) {,if (dataset != null) {<EOS>if (dataset != null&&baseToolTipGenerator != legendItemToolTipGenerator) {,1
patch1-Chart-12-JGenProg2017.patch,return list.contains(listener);,return true;,return list.contains(listener);<EOS>return true;,1
patch1-Chart-14-SimFix-plausible.patch,if (layer == Layer.FOREGROUND) {,if (layer == Layer.BACKGROUND) {,if (layer == Layer.FOREGROUND) {<EOS>if (layer == Layer.BACKGROUND) {,1
patch1-Chart-15-JGenProg2015-plausible.patch,"this.plot.draw(g2, plotArea, anchor, null, plotInfo);",fireChartChanged();,"this.plot.draw(g2, plotArea, anchor, null, plotInfo);<EOS>fireChartChanged();",1
patch1-Chart-17-Elixir-plausible.patch,if (end < start) {,if (end < start && (0 < start)) {,if (end < start) {<EOS>if (end < start && (0 < start)) {,1
patch1-Chart-18-SimFix-plausible.patch,if (index < this.keys.size()) {,this.data.clear();,if (index < this.keys.size()) {<EOS>this.data.clear();,1
patch1-Chart-26-Nopol2017.patch,if (b1 || b2) {,if (org.jfree.chart.plot.CategoryPlot.DEFAULT_CROSSHAIR_STROKE!=null) {,if (b1 || b2) {<EOS>if (org.jfree.chart.plot.CategoryPlot.DEFAULT_CROSSHAIR_STROKE!=null) {,1
patch1-Chart-3-Elixir-plausible.patch,return copy;,return copy.addAndOrUpdate(copy);,return copy;<EOS>return copy.addAndOrUpdate(copy);,1
patch1-Chart-3-Nopol2017.patch,if (removed) {,if (removed& removed) {,if (removed) {<EOS>if (removed& removed) {,1
patch1-Chart-5-DeepRepair.patch,"this.data.add(-index - 1, new XYDataItem(x, y));","org.jfree.data.xy.XYSeries.this.data.add(new org.jfree.data.xy.XYDataItem(x, y));","this.data.add(-index - 1, new XYDataItem(x, y));<EOS>org.jfree.data.xy.XYSeries.this.data.add(new org.jfree.data.xy.XYDataItem(x, y));",1
patch1-Chart-5-Nopol2017.patch,if (this.autoSort) {,if (overwritten!=null) {,if (this.autoSort) {<EOS>if (overwritten!=null) {,1
patch1-Chart-7-Arja-plausible.patch,return this.maxMiddleIndex;,return this.maxEndIndex;,return this.maxMiddleIndex;<EOS>return this.maxEndIndex;,1
patch1-Chart-7-DeepRepair.patch,return this.maxMiddleIndex;,return org.jfree.data.time.TimePeriodValues.this.maxStartIndex;,return this.maxMiddleIndex;<EOS>return org.jfree.data.time.TimePeriodValues.this.maxStartIndex;,1
patch1-Chart-7-JGenProg2015-plausible.patch,return this.maxMiddleIndex;,return this.maxEndIndex;,return this.maxMiddleIndex;<EOS>return this.maxEndIndex;,1
patch1-Chart-7-JGenProg2017.patch,return this.maxMiddleIndex;,return org.jfree.data.time.TimePeriodValues.this.maxStartIndex;,return this.maxMiddleIndex;<EOS>return org.jfree.data.time.TimePeriodValues.this.maxStartIndex;,1
patch1-Chart-8-CapGen-plausible.patch,if (tempWeek == 1,if (org.jfree.data.time.Week.FIRST_WEEK_IN_YEAR == 1,if (tempWeek == 1<EOS>if (org.jfree.data.time.Week.FIRST_WEEK_IN_YEAR == 1,1
patch2-Chart-1-Arja-plausible.patch,return result;,this.columnCount=0;,return result;<EOS>this.columnCount=0;,1
patch2-Chart-13-JGenProg2017.patch,w[0] = constraint.getWidth();,org.jfree.chart.block.BorderArrangement.this.leftBlock = null;,w[0] = constraint.getWidth();<EOS>org.jfree.chart.block.BorderArrangement.this.leftBlock = null;,1
patch2-Chart-5-JGenProg2017.patch,"this.data.add(-index - 1, new XYDataItem(x, y));","add(x, y, true);","this.data.add(-index - 1, new XYDataItem(x, y));<EOS>add(x, y, true);",1
patch2-Chart-7-JGenProg2017.patch,return this.maxMiddleIndex;,return org.jfree.data.time.TimePeriodValues.this.maxEndIndex;,return this.maxMiddleIndex;<EOS>return org.jfree.data.time.TimePeriodValues.this.maxEndIndex;,1
patch3-Chart-8-CapGen-plausible.patch,int yyyy = calendar.get(Calendar.YEAR);,int yyyy = calendar.get(org.jfree.data.time.Week.FIRST_WEEK_IN_YEAR);,int yyyy = calendar.get(Calendar.YEAR);<EOS>int yyyy = calendar.get(org.jfree.data.time.Week.FIRST_WEEK_IN_YEAR);,1
patch4-Chart-1-JGenProg2017.patch,if (dataset != null) {,if ((org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.this.plot) == null) {,if (dataset != null) {<EOS>if ((org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.this.plot) == null) {,1
patch4-Chart-13-JGenProg2017.patch,w[2] = size.width;,h[3] = h[2];,w[2] = size.width;<EOS>h[3] = h[2];,1
patch4-Chart-15-JGenProg2017.patch,"this.plot.draw(g2, plotArea, anchor, null, plotInfo);",g2.setPaintMode();,"this.plot.draw(g2, plotArea, anchor, null, plotInfo);<EOS>g2.setPaintMode();",1
patch4-Chart-26-JGenProg2017.patch,"this.plot.draw(g2, plotArea, anchor, null, plotInfo);",setNotify(false);,"this.plot.draw(g2, plotArea, anchor, null, plotInfo);<EOS>setNotify(false);",1
patch4-Chart-8-CapGen-plausible.patch,"c.set(Calendar.HOUR, 0);","calendar.set(Calendar.HOUR, 0);","c.set(Calendar.HOUR, 0);<EOS>calendar.set(Calendar.HOUR, 0);",1
patch5-Chart-13-JGenProg2017.patch,w[2] = size.width;,org.jfree.chart.block.BorderArrangement.this.leftBlock = null;,w[2] = size.width;<EOS>org.jfree.chart.block.BorderArrangement.this.leftBlock = null;,1
patch5-Chart-26-JGenProg2017.patch,"this.plot.draw(g2, plotArea, anchor, null, plotInfo);",plot.addChangeListener(org.jfree.chart.JFreeChart.this);,"this.plot.draw(g2, plotArea, anchor, null, plotInfo);<EOS>plot.addChangeListener(org.jfree.chart.JFreeChart.this);",1
patch5-Chart-8-CapGen-plausible.patch,"c.set(Calendar.MILLISECOND, 0);","calendar.set(Calendar.MILLISECOND, 0);","c.set(Calendar.MILLISECOND, 0);<EOS>calendar.set(Calendar.MILLISECOND, 0);",1
patch1-Chart-1-Cardumen.patch,if (dataset != null) {,if (plot == null) {,if (dataset != null) {<EOS>if (plot == null) {,1
patch2-Chart-1-Cardumen.patch,if (dataset != null) {,if ((org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.this.baseItemLabelGenerator) != null) {,if (dataset != null) {<EOS>if ((org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.this.baseItemLabelGenerator) != null) {,1
