id,buggy,fixed,pair,label
patch1-Closure-73-Jaid.patch,if (c > 0x1f && c <= 0x7f) {,if (c > 0x1f && c < 0x7f) {,if (c > 0x1f && c <= 0x7f) {<EOS>if (c > 0x1f && c < 0x7f) {,0
patch1-Closure-70-Jaid.patch,"jsDocParameter.getJSType(), true);","jsDocParameter.getJSType(), false);","jsDocParameter.getJSType(), true);<EOS>jsDocParameter.getJSType(), false);",0
patch1-Closure-63-Jaid.patch,&& 0 <= charno && charno < sourceExcerpt.length()) {,&& 0 <= charno && charno <= sourceExcerpt.length()) {,&& 0 <= charno && charno < sourceExcerpt.length()) {<EOS>&& 0 <= charno && charno <= sourceExcerpt.length()) {,0
patch1-Closure-62-Jaid.patch,&& 0 <= charno && charno < sourceExcerpt.length()) {,&& 0 <= charno && charno < sourceExcerpt.length() || (charno == sourceExcerpt.length()) == true) {,&& 0 <= charno && charno < sourceExcerpt.length()) {<EOS>&& 0 <= charno && charno < sourceExcerpt.length() || (charno == sourceExcerpt.length()) == true) {,0
patch1-Closure-40-Jaid.patch,"JsName name = getName(ns.name, false);","JsName name = getName(ns.name, true);","JsName name = getName(ns.name, false);<EOS>JsName name = getName(ns.name, true);",0
patch1-Closure-18-Jaid.patch,if (options.dependencyOptions.needsManagement() && options.closurePass) {,if (options.dependencyOptions.needsManagement() && true) {,if (options.dependencyOptions.needsManagement() && options.closurePass) {<EOS>if (options.dependencyOptions.needsManagement() && true) {,0
patch1-Closure-126-Jaid.patch,if (NodeUtil.hasFinally(n)) {,if (false) {,if (NodeUtil.hasFinally(n)) {<EOS>if (false) {,0
patch1-Closure-115-SimFix.patch,if (hasSideEffects && NodeUtil.canBeSideEffected(cArg)) {,if (cArg==null && NodeUtil.canBeSideEffected(cArg)) {,if (hasSideEffects && NodeUtil.canBeSideEffected(cArg)) {<EOS>if (cArg==null && NodeUtil.canBeSideEffected(cArg)) {,0
patch1-Closure-14-SimFix.patch,"cfa.createEdge(fromNode, Branch.UNCOND, finallyNode);","cfa.createEdge(fromNode, Branch.ON_EX, finallyNode);","cfa.createEdge(fromNode, Branch.UNCOND, finallyNode);<EOS>cfa.createEdge(fromNode, Branch.ON_EX, finallyNode);",0
patch1-Closure-57-SimFix.patch,if (target != null) {,if (target != null&&target.getType()==Token.STRING) {,if (target != null) {<EOS>if (target != null&&target.getType()==Token.STRING) {,0
patch1-Closure-62-SimFix.patch,&& 0 <= charno && charno < sourceExcerpt.length()) {,&& 0 <= charno && charno < sourceExcerpt.length() || (charno == sourceExcerpt.length()) == true) {,&& 0 <= charno && charno < sourceExcerpt.length()) {<EOS>&& 0 <= charno && charno < sourceExcerpt.length() || (charno == sourceExcerpt.length()) == true) {,0
patch1-Closure-63-SimFix.patch,&& 0 <= charno && charno < sourceExcerpt.length()) {,&& 0 <= charno && charno <= sourceExcerpt.length()) {,&& 0 <= charno && charno < sourceExcerpt.length()) {<EOS>&& 0 <= charno && charno <= sourceExcerpt.length()) {,0
patch1-Closure-111-Nopol2017.patch,if (a == null) {,if (message!=null) {,if (a == null) {<EOS>if (message!=null) {,1
patch1-Closure-113-Nopol2017.patch,if (provided != null) {,if ((provided!=null) || (!(ns.length() < 10))) {,if (provided != null) {<EOS>if ((provided!=null) || (!(ns.length() < 10))) {,1
patch1-Closure-38-Nopol2017.patch,if (x < 0 && prev == '-') {,if ((prev == '-')) {,if (x < 0 && prev == '-') {<EOS>if ((prev == '-')) {,1
patch1-Closure-62-Nopol2017.patch,&& 0 <= charno && charno < sourceExcerpt.length()) {,if (error!=null) {,&& 0 <= charno && charno < sourceExcerpt.length()) {<EOS>if (error!=null) {,1
patch1-Closure-62-SketchFix-plausible.patch,&& 0 <= charno && charno < sourceExcerpt.length()) {,&& 0 <= charno && charno < sourceExcerpt.length() && excerpt != null) {,&& 0 <= charno && charno < sourceExcerpt.length()) {<EOS>&& 0 <= charno && charno < sourceExcerpt.length() && excerpt != null) {,1
patch1-Closure-63-Nopol2017.patch,&& 0 <= charno && charno < sourceExcerpt.length()) {,if (error!=null) {,&& 0 <= charno && charno < sourceExcerpt.length()) {<EOS>if (error!=null) {,1
patch2-Closure-62-SketchFix-plausible.patch,&& 0 <= charno && charno < sourceExcerpt.length()) {,&& 0 <= charno && charno < sourceExcerpt.length() && excerptFormatter != null) {,&& 0 <= charno && charno < sourceExcerpt.length()) {<EOS>&& 0 <= charno && charno < sourceExcerpt.length() && excerptFormatter != null) {,1
patch1-Chart-1-3sfix.patch,if (dataset != null) {,if((dataset) == null) {,if (dataset != null) {<EOS>if((dataset) == null) {,0
patch2-Chart-1-3sfix.patch,if (dataset != null) {,if((dataset!=null)&&(index!=0)){,if (dataset != null) {<EOS>if((dataset!=null)&&(index!=0)){,1
patch3-Chart-1-3sfix.patch,if (dataset != null) {,if((dataset!=null)&&(!(dataset.equals(dataset)))){,if (dataset != null) {<EOS>if((dataset!=null)&&(!(dataset.equals(dataset)))){,1
patch4-Chart-1-3sfix.patch,if (dataset != null) {,if((dataset!=null)&&(index> 0)){,if (dataset != null) {<EOS>if((dataset!=null)&&(index> 0)){,1
patch1-Closure-123-3sfix.patch,Context rhsContext = Context.OTHER;,CodeGenerator.Context rhsContext=CodeGenerator.Context.IN_FOR_INIT_CLAUSE;,Context rhsContext = Context.OTHER;<EOS>CodeGenerator.Context rhsContext=CodeGenerator.Context.IN_FOR_INIT_CLAUSE;,1
patch1-Closure-18-3sfix.patch,if (options.dependencyOptions.needsManagement() && options.closurePass) {,if((options.dependencyOptions.needsManagement())||(options.closurePass)){,if (options.dependencyOptions.needsManagement() && options.closurePass) {<EOS>if((options.dependencyOptions.needsManagement())||(options.closurePass)){,1
patch1-Closure-38-3sfix.patch,if (x < 0 && prev == '-') {,if(prev=='-'){,if (x < 0 && prev == '-') {<EOS>if(prev=='-'){,1
patch1-Closure-73-3sfix.patch,if (c > 0x1f && c <= 0x7f) {,if((c> 31)&&(c<127)){,if (c > 0x1f && c <= 0x7f) {<EOS>if((c> 31)&&(c<127)){,0
patch1-Closure-86-3sfix.patch,return true;,return false;,return true;<EOS>return false;,0
patch1-Closure-92-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf('.','.');","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf('.','.');",1
patch1-Closure-93-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf('.','.');","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf('.','.');",1
patch10-Closure-92-3sfix.patch,int indexOfDot = namespace.indexOf('.');,"int indexOfDot=namespace.indexOf(namespace,'.');","int indexOfDot = namespace.indexOf('.');<EOS>int indexOfDot=namespace.indexOf(namespace,'.');",1
