id,buggy,fixed,pair,label
patch1-Lang-26-CapGen.patch,Calendar c = new GregorianCalendar(mTimeZone);,"Calendar c = new GregorianCalendar(mTimeZone,mLocale);","Calendar c = new GregorianCalendar(mTimeZone);<EOS>Calendar c = new GregorianCalendar(mTimeZone,mLocale);",0
patch1-Lang-57-CapGen.patch,return cAvailableLocaleSet.contains(locale);,return org.apache.commons.lang.LocaleUtils.availableLocaleList().contains(locale);,return cAvailableLocaleSet.contains(locale);<EOS>return org.apache.commons.lang.LocaleUtils.availableLocaleList().contains(locale);,0
patch1-Lang-59-CapGen.patch,"str.getChars(0, strLen, buffer, size);","str.getChars(0, width, buffer, size);","str.getChars(0, strLen, buffer, size);<EOS>str.getChars(0, width, buffer, size);",0
patch1-Lang-6-CapGen.patch,"pos += Character.charCount(Character.codePointAt(input, pos));","pos += Character.charCount(Character.codePointAt(input, pt));","pos += Character.charCount(Character.codePointAt(input, pos));<EOS>pos += Character.charCount(Character.codePointAt(input, pt));",0
patch2-Lang-57-CapGen.patch,return cAvailableLocaleSet.contains(locale);,return new java.util.HashSet(org.apache.commons.lang.LocaleUtils.availableLocaleList()).contains(locale);,return cAvailableLocaleSet.contains(locale);<EOS>return new java.util.HashSet(org.apache.commons.lang.LocaleUtils.availableLocaleList()).contains(locale);,0
patch3-Lang-57-CapGen.patch,return cAvailableLocaleSet.contains(locale);,return org.apache.commons.lang.LocaleUtils.cAvailableLocaleList.contains(locale);,return cAvailableLocaleSet.contains(locale);<EOS>return org.apache.commons.lang.LocaleUtils.cAvailableLocaleList.contains(locale);,0
patch1-Lang-24-Elixir.patch,return foundDigit && !hasExp;,return foundDigit && !(hasDecPoint) && (!hasExp);,return foundDigit && !hasExp;<EOS>return foundDigit && !(hasDecPoint) && (!hasExp);,0
patch1-Lang-6-Elixir.patch,"pos += Character.charCount(Character.codePointAt(input, pos));","pos += Character.charCount(Character.codePointAt(input, pt));","pos += Character.charCount(Character.codePointAt(input, pos));<EOS>pos += Character.charCount(Character.codePointAt(input, pt));",0
patch1-Lang-27-SimFix.patch,if (expPos > -1) {,if(expPos>-1&&expPos<str.length()-1){,if (expPos > -1) {<EOS>if(expPos>-1&&expPos<str.length()-1){,0
patch1-Lang-33-SimFix.patch,classes[i] = array[i].getClass();,classes[i]=array[i]==null?null:array[i].getClass();,classes[i] = array[i].getClass();<EOS>classes[i]=array[i]==null?null:array[i].getClass();,0
patch1-Lang-41-SimFix.patch,return getPackageName(cls.getName());,return getPackageCanonicalName(cls.getName());,return getPackageName(cls.getName());<EOS>return getPackageCanonicalName(cls.getName());,0
patch1-Lang-58-SimFix.patch,&& (numeric.charAt(0) == '-' || Character.isDigit(numeric.charAt(0)))) {,if(dec==null&&exp==null&&(numeric.charAt(0)=='-'&&isDigits(numeric.substring(1))||isDigits(numeric))){,&& (numeric.charAt(0) == '-' || Character.isDigit(numeric.charAt(0)))) {<EOS>if(dec==null&&exp==null&&(numeric.charAt(0)=='-'&&isDigits(numeric.substring(1))||isDigits(numeric))){,0
patch1-Lang-60-SimFix.patch,for (int i = startIndex; i < thisBuf.length; i++) {,for (int i = startIndex; i < size; i++) {,for (int i = startIndex; i < thisBuf.length; i++) {<EOS>for (int i = startIndex; i < size; i++) {,0
patch1-Lang-21-ssFix.patch,cal1.get(Calendar.HOUR) == cal2.get(Calendar.HOUR) &&,cal1.get(Calendar.HOUR_OF_DAY) == cal2.get(Calendar.HOUR_OF_DAY) &&,cal1.get(Calendar.HOUR) == cal2.get(Calendar.HOUR) &&<EOS>cal1.get(Calendar.HOUR_OF_DAY) == cal2.get(Calendar.HOUR_OF_DAY) &&,0
patch-Lang-2-ssFix-plausible.patch,"throw new IllegalArgumentException(""The class must not be null"");","throw new IllegalArgumentException(""UID cannot be null"");","throw new IllegalArgumentException(""The class must not be null"");<EOS>throw new IllegalArgumentException(""UID cannot be null"");",1
patch-Lang-27-ssFix-plausible.patch,"mant = str.substring(0, expPos);","mant = str.substring(0, str.length() - 1);","mant = str.substring(0, expPos);<EOS>mant = str.substring(0, str.length() - 1);",1
patch1-Lang-20-Arja-plausible.patch,StringBuilder buf = new StringBuilder((array[startIndex] == null ? 16 : array[startIndex].toString().length()) + separator.length());,StringBuilder buf=new StringBuilder(4);,StringBuilder buf = new StringBuilder((array[startIndex] == null ? 16 : array[startIndex].toString().length()) + separator.length());<EOS>StringBuilder buf=new StringBuilder(4);,1
patch1-Lang-27-DeepRepair.patch,"mant = str.substring(0, expPos);",mant = str;,"mant = str.substring(0, expPos);<EOS>mant = str;",1
patch1-Lang-27-JGenProg2017.patch,"mant = str.substring(0, expPos);",mant = str;,"mant = str.substring(0, expPos);<EOS>mant = str;",1
patch1-Lang-39-ACS-plausible.patch,searchList[i].length() == 0 || replacementList[i] == null),"if (replaceIndex==0.0){return ""cbc"";}","searchList[i].length() == 0 || replacementList[i] == null)<EOS>if (replaceIndex==0.0){return ""cbc"";}",1
patch1-Lang-39-Elixir-plausible.patch,for (int i = 0; i < searchList.length; i++) {,for (int i = 0; i > searchList.length; i++) {,for (int i = 0; i < searchList.length; i++) {<EOS>for (int i = 0; i > searchList.length; i++) {,1
patch1-Lang-41-Arja-plausible.patch,return getPackageName(cls.getName());,return getPackageCanonicalName(cls.getName());,return getPackageName(cls.getName());<EOS>return getPackageCanonicalName(cls.getName());,1
patch1-Lang-43-Arja-plausible.patch,return appendTo == null ? null : appendTo.append(QUOTE);,pos.setIndex(pos.getIndex() + 1);,return appendTo == null ? null : appendTo.append(QUOTE);<EOS>pos.setIndex(pos.getIndex() + 1);,1
patch1-Lang-44-Elixir-plausible.patch,&& (numeric.charAt(0) == '-' && isDigits(numeric.substring(1)) || isDigits(numeric))) {,|| (numeric.charAt(0) == '-' && isDigits(numeric.substring(1)) || isDigits(numeric))) {,&& (numeric.charAt(0) == '-' && isDigits(numeric.substring(1)) || isDigits(numeric))) {<EOS>|| (numeric.charAt(0) == '-' && isDigits(numeric.substring(1)) || isDigits(numeric))) {,1
patch1-Lang-44-SimFix-plausible.patch,&& (numeric.charAt(0) == '-' && isDigits(numeric.substring(1)) || isDigits(numeric))) {,if(dec==null&&exp==null&&expPos<numeric.length()-1){,&& (numeric.charAt(0) == '-' && isDigits(numeric.substring(1)) || isDigits(numeric))) {<EOS>if(dec==null&&exp==null&&expPos<numeric.length()-1){,1
patch1-Lang-45-SimFix-plausible.patch,if (upper < lower) {,if((lower+(upper-3))<lower){,if (upper < lower) {<EOS>if((lower+(upper-3))<lower){,1
patch1-Lang-51-Elixir-plausible.patch,if (ch == 'y') {,if (ch == 'y' || (ch == str.charAt(0))) {,if (ch == 'y') {<EOS>if (ch == 'y' || (ch == str.charAt(0))) {,1
patch1-Lang-51-Nopol2015-plausible.patch,if (ch == 'Y') {,if (str!=null) {,if (ch == 'Y') {<EOS>if (str!=null) {,1
