id,buggy,fixed,pair,label
patch1-Math-30-CapGen.patch,final int n1n2prod = n1 * n2;,final double n1n2prod = n1 * n2;,final int n1n2prod = n1 * n2;<EOS>final double n1n2prod = n1 * n2;,0
patch1-Math-33-CapGen.patch,"if (Precision.compareTo(entry, 0d, maxUlps) > 0) {","if (Precision.compareTo(entry, 0.0, epsilon) > 0) {","if (Precision.compareTo(entry, 0d, maxUlps) > 0) {<EOS>if (Precision.compareTo(entry, 0.0, epsilon) > 0) {",0
patch1-Math-5-CapGen.patch,return NaN;,return org.apache.commons.math3.complex.Complex.INF;,return NaN;<EOS>return org.apache.commons.math3.complex.Complex.INF;,0
patch1-Math-57-CapGen.patch,int sum = 0;,double sum = 0;,int sum = 0;<EOS>double sum = 0;,0
patch1-Math-58-CapGen.patch,"return fit(new Gaussian.Parametric(), guess);",return fit( guess);,"return fit(new Gaussian.Parametric(), guess);<EOS>return fit( guess);",0
patch1-Math-59-CapGen.patch,return (a <= b) ? b : (Float.isNaN(a + b) ? Float.NaN : b);,return (a <= b) ? b : (Float.isNaN(a + b) ? Float.NaN : a);,return (a <= b) ? b : (Float.isNaN(a + b) ? Float.NaN : b);<EOS>return (a <= b) ? b : (Float.isNaN(a + b) ? Float.NaN : a);,0
patch1-Math-63-CapGen.patch,return (Double.isNaN(x) && Double.isNaN(y)) || x == y;,"return org.apache.commons.math.util.MathUtils.equals(x, y, 1);","return (Double.isNaN(x) && Double.isNaN(y)) || x == y;<EOS>return org.apache.commons.math.util.MathUtils.equals(x, y, 1);",0
patch1-Math-65-CapGen.patch,chiSquare += residual * residual / residualsWeights[i];,chiSquare += ((residualsWeights[i]) * residual) * residual;,chiSquare += residual * residual / residualsWeights[i];<EOS>chiSquare += ((residualsWeights[i]) * residual) * residual;,0
patch1-Math-70-CapGen.patch,"return solve(min, max);","return solve(f,min, max)","return solve(min, max);<EOS>return solve(f,min, max)",0
patch1-Math-75-CapGen.patch,return getCumPct((Comparable<?>) v);,return getPct((Comparable<?>) v);,return getCumPct((Comparable<?>) v);<EOS>return getPct((Comparable<?>) v);,0
patch1-Math-80-CapGen.patch,int j = 4 * n - 1;,int j = 4 * (n - 1);,int j = 4 * n - 1;<EOS>int j = 4 * (n - 1);,0
patch1-Math-85-CapGen.patch,if (fa * fb >= 0.0 ) {,if ((fa * fb) > 0.0 ) {,if (fa * fb >= 0.0 ) {<EOS>if ((fa * fb) > 0.0 ) {,0
patch1-Math-34-Elixir.patch,return chromosomes.iterator();,return getChromosomes().iterator();,return chromosomes.iterator();<EOS>return getChromosomes().iterator();,0
patch1-Math-5-Elixir.patch,return NaN;,return INF;,return NaN;<EOS>return INF;,0
patch1-Math-82-Elixir.patch,"if (MathUtils.compareTo(entry, 0, epsilon) >= 0) {","if (MathUtils.compareTo(entry, 0, epsilon) > 0) {","if (MathUtils.compareTo(entry, 0, epsilon) >= 0) {<EOS>if (MathUtils.compareTo(entry, 0, epsilon) > 0) {",0
patch1-Math-50-Jaid.patch,if (x == x1) {,if ((x == x1) != true && x == x1) {,if (x == x1) {<EOS>if ((x == x1) != true && x == x1) {,0
patch1-Math-32-Jaid.patch,if ((Boolean) tree.getAttribute()) {,if ((null == tree.getCut()) != false && (Boolean)tree.getAttribute()) {,if ((Boolean) tree.getAttribute()) {<EOS>if ((null == tree.getCut()) != false && (Boolean)tree.getAttribute()) {,0
patch1-Math-41-SimFix.patch,for (int i = 0; i < weights.length; i++) {,for(int i=begin;i<begin+length;i++){,for (int i = 0; i < weights.length; i++) {<EOS>for(int i=begin;i<begin+length;i++){,0
patch1-Math-50-SimFix.patch,if (x == x1) {,if (x == x0) {,if (x == x1) {<EOS>if (x == x0) {,0
