entryName,number,median,mean,SD
Chart12,4.0,1.0,1.0,0.0
Chart26,3.0,1.0,1.0,0.0
Chart3,2.0,1.0,1.0,0.0
Closure73,2.0,1.0,1.0,0.0
Lang16,3.0,1.0,1.0,0.0
Lang22,5.0,1.0,1.0,0.0
Lang27,3.0,1.0,1.0,0.0
Lang41,2.0,1.0,1.0,0.0
Lang44,2.0,1.0,1.0,0.0
Math32,3.0,1.0,1.0,0.0
Math63,11.0,1.0,1.0,0.0
Chart5,2.0,1.5,1.5,0.5
Math5,4.0,1.0,1.6,1.1999999999999997
Closure115,2.0,2.0,2.0,0.0
Lang39,4.0,2.0,2.0,0.0
Lang43,5.0,2.0,2.0,0.0
Lang55,9.0,2.0,2.0,0.0
Lang58,2.0,2.0,2.0,0.0
Lang60,2.0,2.0,2.0,0.0
Math58,2.0,2.0,2.0,0.0
Math71,2.0,2.0,2.0,0.0
Math85,27.0,2.0,2.0,0.0
Math73,4.0,2.0,2.0,1.0
Math50,4.0,2.0,2.5,0.8660254037844386
Closure33,3.0,3.0,3.0,0.0
Lang45,3.0,3.0,3.0,0.0
Math53,5.0,4.0,3.3333333333333335,0.47140452079103085
Chart9,4.0,4.0,4.0,0.0
Lang20,4.0,4.0,4.0,0.0
Math82,10.0,4.0,4.0,3.0
Closure18,5.0,5.0,5.0,0.0
Math80,31.0,5.0,5.0,0.0
Lang51,8.0,6.0,5.666666666666667,0.47140452079103085
Math2,12.0,9.0,9.0,0.0
