entryName,number,median,mean,SD
Chart15,5.0,1.0,1.0,0.0
Chart17,2.0,1.0,1.0,0.0
Chart19,2.0,1.0,1.0,0.0
Chart26,3.0,1.0,1.0,0.0
Chart3,2.0,1.0,1.0,0.0
Chart7,3.0,1.0,1.0,0.0
Closure115,2.0,1.0,1.0,0.0
Closure123,2.0,1.0,1.0,0.0
Closure18,5.0,1.0,1.0,0.0
Closure33,3.0,1.0,1.0,0.0
Closure73,2.0,1.0,1.0,0.0
Lang16,3.0,1.0,1.0,0.0
Lang20,4.0,1.0,1.0,0.0
Lang22,5.0,1.0,1.0,0.0
Lang27,3.0,1.0,1.0,0.0
Lang41,2.0,1.0,1.0,0.0
Lang44,2.0,1.0,1.0,0.0
Lang63,6.0,1.0,1.0,0.0
Math2,12.0,1.0,1.0,0.0
Math20,13.0,1.0,1.0,0.0
Math31,8.0,1.0,1.0,0.0
Math32,3.0,1.0,1.0,0.0
Math33,2.0,1.0,1.0,0.0
Math50,4.0,1.0,1.0,0.0
Math53,5.0,1.0,1.0,0.0
Math57,2.0,1.0,1.0,0.0
Math59,2.0,1.0,1.0,0.0
Math6,3.0,1.0,1.0,0.0
Math60,2.0,1.0,1.0,0.0
Math68,2.0,1.0,1.0,0.0
Math71,2.0,1.0,1.0,0.0
Math73,4.0,1.0,1.0,0.0
Math74,2.0,1.0,1.0,0.0
Math81,4.0,1.0,1.0,0.0
Math88,2.0,1.0,1.0,0.0
Math97,2.0,1.0,1.0,0.0
Time11,10.0,1.0,1.0,0.0
Time14,2.0,1.0,1.0,0.0
Time4,8.0,1.0,1.0,0.0
Chart13,8.0,2.0,2.0,0.0
Chart25,6.0,2.0,2.0,0.0
Chart5,2.0,2.0,2.0,0.0
Closure62,2.0,2.0,2.0,0.0
Closure63,2.0,2.0,2.0,0.0
Lang39,4.0,2.0,2.0,0.0
Lang43,5.0,2.0,2.0,0.0
Lang58,2.0,2.0,2.0,0.0
Lang60,2.0,2.0,2.0,0.0
Math104,2.0,2.0,2.0,0.0
Math30,2.0,2.0,2.0,0.0
Math56,3.0,2.0,2.0,0.0
Math58,2.0,2.0,2.0,0.0
Math79,2.0,2.0,2.0,0.0
Chart12,4.0,3.0,3.0,0.0
Closure92,11.0,3.0,3.0,0.0
Closure93,11.0,3.0,3.0,0.0
Lang45,3.0,3.0,3.0,0.0
Lang6,4.0,3.0,3.0,0.0
Math70,3.0,3.0,3.0,0.0
Math85,27.0,3.0,3.0,0.0
Chart9,4.0,4.0,4.0,0.0
Closure38,4.0,4.0,4.0,0.0
Lang50,7.0,4.0,4.0,0.0
Math49,11.0,4.0,4.0,0.0
Math5,4.0,4.0,4.0,0.0
Closure86,5.0,5.0,5.0,0.0
Math82,10.0,5.0,5.0,0.0
Lang51,8.0,6.0,6.0,0.0
Math63,11.0,6.0,6.0,0.0
Lang61,7.0,7.0,7.0,0.0
Math8,9.0,8.0,8.0,0.0
Lang55,9.0,9.0,9.0,0.0
Chart1,15.0,12.0,12.0,0.0
Math28,14.0,14.0,14.0,0.0
Math80,31.0,16.0,16.0,0.0
Lang59,23.0,18.0,18.0,0.0
