entryName,number,median,mean,SD
Chart12,4.0,1.0,1.0,0.0
Chart3,2.0,1.0,1.0,0.0
Closure73,2.0,1.0,1.0,0.0
Lang16,3.0,1.0,1.0,0.0
Lang20,4.0,1.0,1.0,0.0
Lang27,3.0,1.0,1.0,0.0
Lang39,4.0,1.0,1.0,0.0
Lang41,2.0,1.0,1.0,0.0
Lang45,3.0,1.0,1.0,0.0
Lang51,8.0,1.0,1.0,0.0
Lang58,2.0,1.0,1.0,0.0
Math2,12.0,1.0,1.0,0.0
Math32,3.0,1.0,1.0,0.0
Math53,5.0,1.0,1.0,0.0
Math80,31.0,1.0,1.0,0.0
Chart26,3.0,1.0,1.3333333333333333,0.4714045207910318
Chart5,2.0,2.0,2.0,0.0
Closure115,2.0,2.0,2.0,0.0
Closure18,5.0,2.0,2.0,0.0
Lang43,5.0,2.0,2.0,0.0
Lang44,2.0,2.0,2.0,0.0
Lang60,2.0,2.0,2.0,0.0
Math50,4.0,2.0,2.0,0.0
Math58,2.0,2.0,2.0,0.0
Math71,2.0,2.0,2.0,0.0
Math5,4.0,1.0,2.2,1.4696938456699067
Math73,4.0,2.5,2.5,0.5
Math82,10.0,2.5,2.5,1.5
Closure33,3.0,3.0,3.0,0.0
Lang22,5.0,3.0,3.0,0.0
Math85,27.0,3.0,3.0,2.0
Chart9,4.0,4.0,4.0,0.0
Lang55,9.0,4.0,4.0,0.0
Math63,11.0,11.0,11.0,0.0
